    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0001   3.382E+01   1.4000   0.0002   0.000E+00   4.04033410E+00   1.03861905E+01
       5        168.85     0.0482   3.374E+01   1.4000   0.1267   1.477E-17   4.03644922E+00   1.03648591E+01
      10       333.724     0.0482   3.372E+01   1.4000   0.1265   1.468E-17   4.03270068E+00   1.03450665E+01
      15        502.33     0.0375   3.373E+01   1.4000   0.1264   1.613E-17   4.02892289E+00   1.03258145E+01
      20       667.485     0.0487   3.373E+01   1.4000   0.1264   1.532E-17   4.02528268E+00   1.03078669E+01
      25       836.193     0.0370   3.376E+01   1.4000   0.1264   1.467E-17   4.02163001E+00   1.02903971E+01
      30        1001.3     0.0488   3.387E+01   1.4000   0.1365   1.539E-17   4.01808530E+00   1.02685727E+01
      35       1170.28     0.0375   2.972E+01   1.2336   0.1991   1.363E-17   4.01428242E+00   1.02279016E+01
      40       1334.66     0.0480   3.363E+01   1.4000   0.2693   1.386E-17   4.01037356E+00   1.01846850E+01
      45          1500     0.0372   3.371E+01   1.4000   0.2892   1.501E-17   4.00624551E+00   1.01435423E+01
      50       1668.57     0.0477   3.373E+01   1.4000   0.2954   1.431E-17   4.00186853E+00   1.01054614E+01
      55       1833.72     0.0483   3.369E+01   1.4000   0.2957   1.474E-17   3.99745566E+00   1.00716195E+01
      60        2002.1     0.0375   3.367E+01   1.4000   0.2937   1.422E-17   3.99286713E+00   1.00399473E+01
      65       2167.22     0.0487   3.355E+01   1.4000   0.2913   1.517E-17   3.98830811E+00   1.00110906E+01
      70       2334.59     0.0375   3.333E+01   1.4000   0.2883   1.531E-17   3.98363908E+00   9.98365700E+00
      75       2499.45     0.0478   3.296E+01   1.4000   0.2890   1.441E-17   3.97897862E+00   9.95811415E+00
      80       2662.38     0.0378   3.208E+01   1.4000   0.3055   1.322E-17   3.97425772E+00   9.93344549E+00
      85       2795.15     0.0488   3.119E+01   1.4000   0.3189   1.397E-17   3.97025910E+00   9.91206119E+00
      90       2949.66     0.0393   3.086E+01   1.4000   0.3361   1.345E-17   3.96535466E+00   9.88313839E+00
      95        3090.9     0.0491   2.975E+01   1.4000   0.3366   1.391E-17   3.96060354E+00   9.85279458E+00
     100        3236.6     0.0375   2.802E+01   1.4000   0.3293   1.361E-17   3.95546987E+00   9.81774294E+00
     105       3354.88     0.0488   2.739E+01   1.4000   0.3450   1.563E-17   3.95120537E+00   9.78737726E+00
     110       3489.87     0.0379   2.620E+01   1.4000   0.3308   1.871E-17   3.94632106E+00   9.75228816E+00
     115          3600     0.1020   2.636E+01   1.4000   0.3406   1.533E-17   3.94235563E+00   9.72419998E+00
     120          3732     0.0491   2.647E+01   1.4000   0.3103   1.591E-17   3.93762471E+00   9.69130195E+00
     125       3866.76     0.0376   2.762E+01   1.4000   0.3239   1.281E-17   3.93279461E+00   9.65830172E+00
     130       3982.99     0.0483   2.788E+01   1.4000   0.3200   1.285E-17   3.92860041E+00   9.63003160E+00
     135       4123.86     0.0376   2.816E+01   1.4000   0.3201   1.255E-17   3.92344552E+00   9.59587700E+00
     140       4256.41     0.0489   2.816E+01   1.4000   0.3373   1.340E-17   3.91849080E+00   9.56352635E+00
     145       4396.17     0.0378   2.795E+01   1.4000   0.3440   1.125E-17   3.91313549E+00   9.52881154E+00
     150       4527.99     0.0486   2.816E+01   1.4000   0.3470   1.141E-17   3.90796062E+00   9.49529856E+00
     155       4668.08     0.0376   2.814E+01   1.4000   0.3369   1.120E-17   3.90234468E+00   9.45876644E+00
     160          4800     0.0376   2.808E+01   1.4000   0.3714   1.255E-17   3.89696158E+00   9.42324994E+00
     165       4938.44     0.0486   2.681E+01   1.4000   0.3597   1.212E-17   3.89122067E+00   9.38467653E+00
     170       5071.62     0.0379   2.673E+01   1.4000   0.3478   1.091E-17   3.88561113E+00   9.34693637E+00
     175       5178.62     0.0490   2.651E+01   1.4000   0.3299   1.102E-17   3.88103983E+00   9.31664489E+00
     180       5309.28     0.0376   2.581E+01   1.4000   0.3156   1.104E-17   3.87537313E+00   9.28004771E+00
     185       5425.75     0.0484   2.570E+01   1.4000   0.2952   1.312E-17   3.87023676E+00   9.24823728E+00
     190       5552.82     0.0379   2.491E+01   1.4000   0.3157   1.200E-17   3.86454046E+00   9.21470596E+00
     195       5676.79     0.0383   2.321E+01   1.3185   0.2788   1.139E-17   3.85889483E+00   9.18338663E+00
     200       5798.38     0.0488   2.413E+01   1.4000   0.2903   1.138E-17   3.85327948E+00   9.15443139E+00
     205       5916.26     0.0374   2.265E+01   1.4000   0.3037   1.285E-17   3.84776118E+00   9.12820887E+00
     210        6021.6     0.0481   2.148E+01   1.4000   0.3038   1.373E-17   3.84276333E+00   9.10602890E+00
     215       6128.58     0.0379   2.120E+01   1.4000   0.3094   1.542E-17   3.83763036E+00   9.08434156E+00
     220       6236.19     0.0383   2.170E+01   1.4000   0.2928   1.463E-17   3.83242485E+00   9.06303347E+00
     225        6342.3     0.0483   2.111E+01   1.4000   0.3117   1.409E-17   3.82725989E+00   9.04234014E+00
     230       6446.76     0.0379   2.063E+01   1.4000   0.3045   1.424E-17   3.82214619E+00   9.02271857E+00
     235       6550.18     0.0375   2.050E+01   1.4000   0.3116   1.503E-17   3.81705719E+00   9.00507021E+00
     240        6640.8     0.0487   1.993E+01   1.4000   0.2762   1.325E-17   3.81258694E+00   8.99181792E+00
     245       6737.79     0.0380   1.858E+01   1.4000   0.2901   1.546E-17   3.80781155E+00   8.98019555E+00
     250       6829.58     0.0379   1.808E+01   1.4000   0.2727   1.877E-17   3.80332460E+00   8.97159612E+00
     255        6918.2     0.0492   1.864E+01   1.4000   0.2803   1.792E-17   3.79904663E+00   8.96553758E+00
     260       7012.77     0.0380   1.918E+01   1.4000   0.2723   1.836E-17   3.79456754E+00   8.96127335E+00
     265        7107.3     0.0381   1.855E+01   1.4000   0.2876   1.703E-17   3.79020625E+00   8.95959359E+00
     270       7198.81     0.0384   1.194E+00   0.0945   0.0188   1.770E-17   3.78611471E+00   8.96031799E+00
     275       7270.16     0.1334   1.714E+01   1.4000   0.2710   2.035E-17   3.78302292E+00   8.96164102E+00
     280       7356.08     0.0376   1.718E+01   1.4000   0.2800   1.603E-17   3.77942378E+00   8.96311217E+00
     285       7442.74     0.0445   1.730E+01   1.4000   0.2773   1.641E-17   3.77593499E+00   8.96400653E+00
     290       7516.58     0.0491   1.676E+01   1.4000   0.2901   1.569E-17   3.77307340E+00   8.96445214E+00
     295       7599.81     0.0379   1.690E+01   1.4000   0.2872   1.599E-17   3.76995942E+00   8.96588081E+00
     300       7685.29     0.0382   1.746E+01   1.4000   0.3538   1.583E-17   3.76687167E+00   8.96659628E+00
     305       7773.32     0.0383   1.768E+01   1.3966   0.4000   1.850E-17   3.76380831E+00   8.96216858E+00
     310       7851.48     0.0492   1.661E+01   1.4000   0.3347   1.528E-17   3.76119582E+00   8.95404790E+00
     315       7933.73     0.0382   1.622E+01   1.4000   0.3041   1.698E-17   3.75854211E+00   8.94521857E+00
     320       8014.93     0.0401   1.639E+01   1.4000   0.2899   1.790E-17   3.75598024E+00   8.93835030E+00
     325        8097.6     0.0387   2.400E+00   0.1988   0.0386   1.797E-17   3.75339033E+00   8.93387688E+00
     330       8167.37     0.0510   1.680E+01   1.4000   0.3343   1.889E-17   3.75121145E+00   8.93258221E+00
     335       8249.94     0.0384   1.659E+01   1.4000   0.3545   1.908E-17   3.74865120E+00   8.93326889E+00
     340       8331.25     0.0381   1.646E+01   1.4000   0.3287   1.972E-17   3.74615510E+00   8.93256736E+00
     345          8400     0.0381   1.626E+01   1.4000   0.3715   1.645E-17   3.74404781E+00   8.92961521E+00
     350       8479.64     0.0487   1.641E+01   1.4000   0.3795   2.022E-17   3.74157211E+00   8.92417736E+00
     355       8554.48     0.0384   1.574E+01   1.3607   0.4000   1.636E-17   3.73916804E+00   8.91599570E+00
     360       8628.93     0.0379   1.504E+01   1.3159   0.4000   1.502E-17   3.73667769E+00   8.90520551E+00
     365          8700     0.0383   1.618E+01   1.4000   0.3968   1.655E-17   3.73421638E+00   8.89495715E+00
     370       8782.59     0.0494   1.691E+01   1.4000   0.3516   1.633E-17   3.73129061E+00   8.88538439E+00
     375       8868.27     0.0383   1.719E+01   1.4000   0.3483   1.810E-17   3.72822573E+00   8.87545797E+00
     380       8954.64     0.0384   1.713E+01   1.4000   0.3427   1.889E-17   3.72514819E+00   8.86418014E+00
     385       9034.57     0.0485   1.722E+01   1.4000   0.3312   1.666E-17   3.72235456E+00   8.85308092E+00
     390       9120.14     0.0379   1.644E+01   1.4000   0.2955   1.674E-17   3.71946686E+00   8.84127305E+00
     395       9201.08     0.0381   1.606E+01   1.4000   0.2658   1.959E-17   3.71685574E+00   8.83142204E+00
     400       9281.12     0.0383   1.626E+01   1.4000   0.2932   2.012E-17   3.71436991E+00   8.82156570E+00
     405       9349.83     0.0497   1.692E+01   1.4000   0.3080   1.833E-17   3.71227200E+00   8.81192290E+00
     410       9433.92     0.0381   1.693E+01   1.4000   0.3130   2.204E-17   3.70970217E+00   8.80192972E+00
     415       9517.79     0.0382   1.686E+01   1.4000   0.2962   1.735E-17   3.70709379E+00   8.79374032E+00
     420          9600     0.0379   1.694E+01   1.4000   0.3099   1.796E-17   3.70445861E+00   8.78619225E+00
     425       9684.62     0.0494   1.713E+01   1.4000   0.3196   1.833E-17   3.70163162E+00   8.78317948E+00
     430       9770.55     0.0384   1.736E+01   1.4000   0.3004   1.690E-17   3.69863763E+00   8.78617483E+00
     435       9856.29     0.0381   1.718E+01   1.4000   0.2795   2.069E-17   3.69557727E+00   8.79272447E+00
     440       9932.71     0.0490   1.592E+01   1.4000   0.2617   1.714E-17   3.69284473E+00   8.80128406E+00
     445       10010.8     0.0385   1.516E+01   1.4000   0.2793   2.125E-17   3.69007814E+00   8.81172380E+00
     450       10086.4     0.0382   1.530E+01   1.4000   0.2694   2.314E-17   3.68741868E+00   8.82207659E+00
     455       10162.7     0.0388   1.502E+01   1.4000   0.2914   2.005E-17   3.68474376E+00   8.83177988E+00
     460       10229.2     0.0492   1.490E+01   1.4000   0.2957   1.889E-17   3.68243105E+00   8.83659745E+00
     465       10302.5     0.0386   1.515E+01   1.4000   0.3067   2.187E-17   3.67992010E+00   8.83338151E+00
     470       10378.3     0.0385   1.567E+01   1.4000   0.3467   2.008E-17   3.67737357E+00   8.81779129E+00
     475       10458.2     0.0386   1.636E+01   1.4000   0.3271   1.480E-17   3.67474641E+00   8.79130855E+00
     480       10532.4     0.0499   1.581E+01   1.4000   0.3327   2.100E-17   3.67232820E+00   8.76321251E+00
     485       10611.9     0.0386   1.601E+01   1.4000   0.3395   1.847E-17   3.66972685E+00   8.72927931E+00
     490       10692.3     0.0392   1.682E+01   1.4000   0.3329   1.924E-17   3.66705389E+00   8.68642789E+00
     495       10777.3     0.0385   1.719E+01   1.4000   0.2999   1.828E-17   3.66421643E+00   8.63786529E+00
     500       10851.5     0.1384   1.739E+01   1.4000   0.3140   1.515E-17   3.66177107E+00   8.59846580E+00
     505       10940.1     0.0395   1.760E+01   1.4000   0.3134   1.672E-17   3.65889784E+00   8.55474883E+00
     510       11025.1     0.0381   1.657E+01   1.4000   0.2806   1.521E-17   3.65615593E+00   8.51931076E+00
     515         11100     0.0384   1.668E+01   1.4000   0.2996   1.605E-17   3.65371741E+00   8.49697639E+00
     520         11182     0.0495   1.574E+01   1.4000   0.2881   1.552E-17   3.65103003E+00   8.48359018E+00
     525         11261     0.0384   1.588E+01   1.4000   0.2619   1.758E-17   3.64845834E+00   8.47868435E+00
     530       11341.7     0.0391   1.631E+01   1.4000   0.2682   1.553E-17   3.64589980E+00   8.47862444E+00
     535       11415.5     0.0498   1.551E+01   1.4000   0.2674   1.893E-17   3.64363850E+00   8.48254891E+00
     540       11491.8     0.0383   1.497E+01   1.4000   0.2743   1.447E-17   3.64133442E+00   8.48738871E+00
     545       11566.1     0.0391   1.467E+01   1.4000   0.2949   1.808E-17   3.63909777E+00   8.49039024E+00
     550       11640.4     0.0384   1.467E+01   1.4000   0.3165   1.600E-17   3.63687921E+00   8.49517606E+00
     555         11700     0.0385   1.499E+01   1.4000   0.3251   1.546E-17   3.63512335E+00   8.49965345E+00
     560       11775.4     0.0495   1.544E+01   1.4000   0.3021   1.921E-17   3.63291181E+00   8.50238918E+00
     565       11852.9     0.0387   1.536E+01   1.4000   0.2693   2.242E-17   3.63061281E+00   8.50383812E+00
     570         11931     0.0383   1.602E+01   1.4000   0.3198   1.997E-17   3.62821291E+00   8.50571904E+00
