    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0002   5.461E-03   0.0000   0.4000   0.000E+00   0.00000000E+00   0.00000000E+00
       1    0.00546107     0.1085   5.461E-03   0.0000   0.4000   3.659E-15  -2.57795571E-18   2.26984788E-13
       2     0.0109221     0.0610   5.461E-03   0.0000   0.4000   1.723E-14  -8.45360832E-18   4.83420305E-13
       3     0.0163832     0.0611   5.461E-03   0.0000   0.4000   2.660E-14  -1.27408321E-17   7.08256352E-13
       4     0.0218443     0.0608   5.461E-03   0.0000   0.4000   3.298E-14  -1.41220104E-17   9.25474027E-13
       5     0.0273053     0.0613   5.461E-03   0.0000   0.4000   3.920E-14  -5.21977400E-18   1.14411077E-12
       6     0.0327664     0.0610   5.461E-03   0.0000   0.4000   4.545E-14   1.29294287E-17   1.36547781E-12
       7     0.0382275     0.0606   5.461E-03   0.0000   0.4000   5.264E-14   4.46642740E-17   1.58899146E-12
       8     0.0436885     0.0609   5.461E-03   0.0000   0.4000   5.631E-14   9.25973302E-17   1.81393803E-12
       9     0.0491496     0.0619   5.461E-03   0.0001   0.4000   6.046E-14   1.60436619E-16   2.03980083E-12
      10     0.0546107     0.0611   5.461E-03   0.0001   0.4000   6.546E-14   2.48856170E-16   2.26624054E-12
      11     0.0600717     0.0609   5.461E-03   0.0001   0.4000   6.905E-14   3.60096866E-16   2.49303296E-12
      12     0.0655328     0.0609   5.461E-03   0.0001   0.4000   7.379E-14   4.97066179E-16   2.72002379E-12
      13     0.0709939     0.0615   5.461E-03   0.0001   0.4000   7.774E-14   6.59344642E-16   2.94710195E-12
      14     0.0764549     0.0612   5.461E-03   0.0001   0.4000   8.020E-14   8.50043726E-16   3.17418465E-12
      15      0.081916     0.0607   5.461E-03   0.0001   0.4000   8.228E-14   1.06892625E-15   3.40120880E-12
      16     0.0873771     0.0608   5.461E-03   0.0001   0.4000   8.730E-14   1.31867538E-15   3.62812596E-12
      17     0.0928381     0.0608   5.461E-03   0.0001   0.4000   9.038E-14   1.59932115E-15   3.85489896E-12
      18     0.0982992     0.0608   1.701E-03   0.0000   0.1246   9.522E-14   1.91070334E-15   4.08149963E-12
      19           0.1     0.0606   5.461E-03   0.0001   0.4000   2.967E-14   2.03180495E-15   4.15203192E-12
      20      0.105461     0.1120   5.461E-03   0.0001   0.4000   9.832E-14   2.36948869E-15   4.37837611E-12
      21      0.110922     0.0610   5.461E-03   0.0001   0.4000   9.980E-14   2.75777365E-15   4.60450843E-12
      22      0.116383     0.0608   5.461E-03   0.0001   0.4000   1.037E-13   3.17906643E-15   4.83042011E-12
      23      0.121844     0.0610   5.461E-03   0.0001   0.4000   1.059E-13   3.63345178E-15   5.05610609E-12
      24      0.127305     0.0610   5.461E-03   0.0001   0.4000   1.090E-13   4.11998869E-15   5.28156434E-12
